127.0.0.1, 2010-09-18 23:32:46, GET, /, HTTP/1.1, 303, 0.015000
127.0.0.1, 2010-09-18 23:32:48, GET, /welcome/default/index, HTTP/1.1, 200, 1.016000
127.0.0.1, 2010-09-18 23:32:48, GET, /welcome/static/jquery.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2010-09-18 23:32:48, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2010-09-18 23:32:48, GET, /welcome/static/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2010-09-18 23:32:48, GET, /welcome/static/base.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2010-09-18 23:32:48, GET, /welcome/static/calendar.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2010-09-18 23:32:48, GET, /welcome/static/superfish.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2010-09-18 23:32:48, GET, /welcome/static/images/background.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2010-09-18 23:32:48, GET, /welcome/static/images/header.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2010-09-18 23:33:39, GET, /admin/default/site, HTTP/1.1, 303, 0.187000
127.0.0.1, 2010-09-18 23:33:39, GET, /admin/default/index, HTTP/1.1, 200, 0.109000
127.0.0.1, 2010-09-18 23:33:47, POST, /admin/default/index, HTTP/1.1, 303, 0.188000
127.0.0.1, 2010-09-18 23:33:47, GET, /admin/default/site, HTTP/1.1, 200, 0.125000
127.0.0.1, 2010-09-18 23:33:49, POST, /admin/default/check_version, HTTP/1.1, 200, 2.078000
127.0.0.1, 2010-09-18 23:33:51, GET, /admin/default/twitter, HTTP/1.1, 200, 3.891000
127.0.0.1, 2010-09-18 23:35:24, POST, /admin/default/site, HTTP/1.1, 303, 0.640000
127.0.0.1, 2010-09-18 23:35:24, GET, /admin/default/site, HTTP/1.1, 200, 0.140000
127.0.0.1, 2010-09-18 23:35:51, GET, /admin/default/twitter, HTTP/1.1, 200, 27.250000
127.0.0.1, 2010-09-18 23:36:00, POST, /admin/default/site, HTTP/1.1, 303, 2.266000
127.0.0.1, 2010-09-18 23:36:00, GET, /admin/default/site, HTTP/1.1, 200, 0.125000
127.0.0.1, 2010-09-18 23:36:02, GET, /admin/default/twitter, HTTP/1.1, 200, 2.141000
127.0.0.1, 2010-09-18 23:36:05, GET, /admin/default/uninstall/welcome, HTTP/1.1, 200, 0.187000
127.0.0.1, 2010-09-18 23:36:08, POST, /admin/default/uninstall/welcome, HTTP/1.1, 303, 0.641000
127.0.0.1, 2010-09-18 23:36:08, GET, /admin/default/site, HTTP/1.1, 200, 0.219000
127.0.0.1, 2010-09-18 23:36:11, GET, /admin/default/uninstall/examples, HTTP/1.1, 200, 0.125000
127.0.0.1, 2010-09-18 23:36:14, GET, /admin/default/twitter, HTTP/1.1, 200, 5.938000
127.0.0.1, 2010-09-18 23:36:15, POST, /admin/default/uninstall/examples, HTTP/1.1, 303, 1.797000
127.0.0.1, 2010-09-18 23:36:15, GET, /admin/default/site, HTTP/1.1, 200, 0.187000
127.0.0.1, 2010-09-18 23:36:17, GET, /admin/default/twitter, HTTP/1.1, 200, 1.937000
127.0.0.1, 2010-09-18 23:36:18, GET, /init/default/index, HTTP/1.1, 500, 0.485000
127.0.0.1, 2010-09-18 23:36:22, GET, /admin/default/ticket/init/127.0.0.1.2010-09-18.23-36-18.9ee6c713-4da9-49fa-875c-24233dc31e9b, HTTP/1.1, 200, 0.469000
127.0.0.1, 2010-09-18 23:45:46, GET, /admin/default/edit/init/models/db.py, HTTP/1.1, 200, 0.203000
127.0.0.1, 2010-09-18 23:45:46, GET, /admin/static/edit_area/edit_area_full.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2010-09-18 23:45:46, GET, /admin/static/ajax_editor.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2010-09-18 23:45:47, GET, /admin/static/edit_area/langs/en.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2010-09-18 23:45:47, GET, /admin/static/edit_area/reg_syntax/python.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2010-09-18 23:45:47, GET, /admin/static/edit_area/images/search.gif, HTTP/1.1, 200, 0.016000
127.0.0.1, 2010-09-18 23:45:47, GET, /admin/static/edit_area/images/go_to_line.gif, HTTP/1.1, 200, 0.000000
127.0.0.1, 2010-09-18 23:45:47, GET, /admin/static/edit_area/images/spacer.gif, HTTP/1.1, 200, 0.000000
127.0.0.1, 2010-09-18 23:45:47, GET, /admin/static/edit_area/images/fullscreen.gif, HTTP/1.1, 200, 0.016000
127.0.0.1, 2010-09-18 23:45:47, GET, /admin/static/edit_area/images/undo.gif, HTTP/1.1, 200, 0.000000
127.0.0.1, 2010-09-18 23:45:47, GET, /admin/static/edit_area/images/redo.gif, HTTP/1.1, 200, 0.000000
127.0.0.1, 2010-09-18 23:45:47, GET, /admin/static/edit_area/images/smooth_selection.gif, HTTP/1.1, 200, 0.000000
127.0.0.1, 2010-09-18 23:45:47, GET, /admin/static/edit_area/images/highlight.gif, HTTP/1.1, 200, 0.000000
127.0.0.1, 2010-09-18 23:45:47, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 200, 0.000000
127.0.0.1, 2010-09-18 23:45:47, GET, /admin/static/edit_area/images/help.gif, HTTP/1.1, 200, 0.016000
127.0.0.1, 2010-09-18 23:45:47, GET, /admin/static/edit_area/images/reset_highlight.gif, HTTP/1.1, 200, 0.016000
127.0.0.1, 2010-09-18 23:45:47, GET, /admin/static/edit_area/images/statusbar_resize.gif, HTTP/1.1, 200, 0.016000
127.0.0.1, 2010-09-18 23:45:47, GET, /admin/static/edit_area/images/move.gif, HTTP/1.1, 200, 0.000000
127.0.0.1, 2010-09-18 23:45:47, GET, /admin/static/edit_area/images/close.gif, HTTP/1.1, 200, 0.015000
127.0.0.1, 2010-09-18 23:45:57, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.078000
127.0.0.1, 2010-09-18 23:48:19, POST, /admin/default/edit/init/models/db.py, HTTP/1.1, 200, 0.125000
127.0.0.1, 2010-09-18 23:48:53, GET, /init/default/index, HTTP/1.1, 500, 0.094000
127.0.0.1, 2010-09-18 23:49:02, GET, /admin/default/ticket/init/127.0.0.1.2010-09-18.23-48-53.c24b5eba-569f-4722-a030-55bbd049f965, HTTP/1.1, 200, 0.328000
127.0.0.1, 2010-09-18 23:50:53, GET, /init/default/index, HTTP/1.1, 500, 0.125000
127.0.0.1, 2010-09-18 23:50:56, GET, /admin/default/ticket/init/127.0.0.1.2010-09-18.23-50-53.6575eaa8-bd0f-4beb-bf7d-04e78c23fbcb, HTTP/1.1, 200, 0.328000
127.0.0.1, 2010-09-18 23:52:50, GET, /init/default/index, HTTP/1.1, 500, 0.125000
127.0.0.1, 2010-09-18 23:52:52, GET, /init/default/index, HTTP/1.1, 500, 0.125000
127.0.0.1, 2010-09-18 23:52:56, GET, /, HTTP/1.1, 500, 0.078000
127.0.0.1, 2010-09-18 23:53:25, GET, /, HTTP/1.1, 500, 0.297000
127.0.0.1, 2010-09-18 23:53:27, GET, /admin/default/ticket/init/127.0.0.1.2010-09-18.23-53-25.348ba434-0981-4895-87be-3989d5cbd283, HTTP/1.1, 200, 0.328000
127.0.0.1, 2010-09-18 23:54:33, GET, /, HTTP/1.1, 500, 0.172000
127.0.0.1, 2010-09-18 23:54:36, GET, /admin/default/ticket/init/127.0.0.1.2010-09-18.23-54-33.0749d98a-b241-464a-9583-5357a1a20616, HTTP/1.1, 200, 0.328000
127.0.0.1, 2010-09-18 23:55:04, GET, /, HTTP/1.1, 500, 0.109000
127.0.0.1, 2010-09-18 23:55:07, GET, /admin/default/ticket/init/127.0.0.1.2010-09-18.23-55-04.bdbd26a3-3676-4fb2-bba0-3a65a0938648, HTTP/1.1, 200, 0.328000
127.0.0.1, 2010-09-19 22:33:23, GET, /, HTTP/1.1, 500, 0.391000
127.0.0.1, 2010-09-19 22:33:29, GET, /admin/default/ticket/init/127.0.0.1.2010-09-19.22-33-23.763b175b-d22a-4825-8377-34353a872d80, HTTP/1.1, 303, 0.140000
127.0.0.1, 2010-09-19 22:33:29, GET, /admin/default/index, HTTP/1.1, 200, 0.172000
127.0.0.1, 2010-09-19 22:33:35, POST, /admin/default/index, HTTP/1.1, 303, 0.187000
127.0.0.1, 2010-09-19 22:33:35, GET, /admin/default/ticket/init/127.0.0.1.2010-09-19.22-33-23.763b175b-d22a-4825-8377-34353a872d80, HTTP/1.1, 200, 0.297000
127.0.0.1, 2010-09-19 22:34:50, GET, /, HTTP/1.1, 500, 0.094000
127.0.0.1, 2010-09-19 22:34:52, GET, /admin/default/ticket/init/127.0.0.1.2010-09-19.22-34-50.0bc3cef8-a48c-4161-b2dd-6710de0d11ba, HTTP/1.1, 200, 0.297000
127.0.0.1, 2010-09-19 22:38:05, GET, /, HTTP/1.1, 500, 0.157000
127.0.0.1, 2010-09-19 22:38:07, GET, /admin/default/ticket/init/127.0.0.1.2010-09-19.22-38-05.bd3f9aa0-35cb-4a3a-bdfb-c27ce2584b8e, HTTP/1.1, 200, 0.468000
127.0.0.1, 2010-09-19 22:38:41, GET, /, HTTP/1.1, 500, 0.766000
127.0.0.1, 2010-09-19 22:38:43, GET, /admin/default/ticket/init/127.0.0.1.2010-09-19.22-38-41.4221bb7b-a498-48be-b0be-5322ed1da99f, HTTP/1.1, 200, 0.578000
127.0.0.1, 2010-09-19 22:45:40, GET, /, HTTP/1.1, 500, 0.282000
127.0.0.1, 2010-09-19 22:45:43, GET, /admin/default/ticket/init/127.0.0.1.2010-09-19.22-45-40.4421c495-eb25-4a2d-b2d9-9ee2f02ffc29, HTTP/1.1, 200, 0.750000
127.0.0.1, 2010-09-19 22:48:28, GET, /, HTTP/1.1, 500, 0.297000
127.0.0.1, 2010-09-19 22:48:30, GET, /admin/default/ticket/init/127.0.0.1.2010-09-19.22-48-28.d30cef7d-47a2-42f7-88b6-6c2f9d1ea76a, HTTP/1.1, 200, 0.750000
127.0.0.1, 2010-09-19 22:51:56, GET, /, HTTP/1.1, 500, 0.219000
127.0.0.1, 2010-09-19 22:51:58, GET, /admin/default/ticket/init/127.0.0.1.2010-09-19.22-51-56.4b04bdbd-a2da-4f27-b729-b97af777239a, HTTP/1.1, 200, 0.532000
127.0.0.1, 2010-09-20 23:36:00, GET, /, HTTP/1.1, 500, 0.781000
127.0.0.1, 2010-09-20 23:36:03, GET, /admin/default/ticket/init/127.0.0.1.2010-09-20.23-36-00.41c1df13-dd02-4b81-919f-fd07a3d91049, HTTP/1.1, 303, 0.172000
127.0.0.1, 2010-09-20 23:36:03, GET, /admin/default/index, HTTP/1.1, 200, 0.219000
127.0.0.1, 2010-09-20 23:36:12, POST, /admin/default/index, HTTP/1.1, 303, 0.203000
127.0.0.1, 2010-09-20 23:36:12, GET, /admin/default/ticket/init/127.0.0.1.2010-09-20.23-36-00.41c1df13-dd02-4b81-919f-fd07a3d91049, HTTP/1.1, 200, 0.578000
127.0.0.1, 2010-10-09 23:23:15, GET, /init/default/index, HTTP/1.1, 500, 0.719000
127.0.0.1, 2010-10-09 23:23:16, GET, /init/default/index, HTTP/1.1, 500, 0.359000
127.0.0.1, 2010-10-09 23:23:17, GET, /init/default/index, HTTP/1.1, 500, 0.281000
127.0.0.1, 2010-10-09 23:23:19, GET, /init/default/index, HTTP/1.1, 500, 0.328000
127.0.0.1, 2010-10-09 23:23:21, GET, /admin/default/ticket/init/127.0.0.1.2010-10-09.23-23-19.96dd4a23-717f-46dc-8f92-3bd06899a808, HTTP/1.1, 303, 0.203000
127.0.0.1, 2010-10-09 23:23:21, GET, /admin/default/index, HTTP/1.1, 200, 0.250000
127.0.0.1, 2010-10-09 23:23:21, GET, /admin/static/jquery.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2010-10-09 23:23:21, GET, /admin/static/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2010-10-09 23:23:21, GET, /admin/static/styles.css, HTTP/1.1, 200, 0.047000
127.0.0.1, 2010-10-09 23:23:21, GET, /admin/static/calendar.js, HTTP/1.1, 200, 0.047000
127.0.0.1, 2010-10-09 23:23:21, GET, /admin/static/title.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2010-10-09 23:23:27, POST, /admin/default/index, HTTP/1.1, 200, 0.203000
127.0.0.1, 2010-10-09 23:23:34, POST, /admin/default/index, HTTP/1.1, 303, 0.172000
127.0.0.1, 2010-10-09 23:23:35, GET, /admin/default/ticket/init/127.0.0.1.2010-10-09.23-23-19.96dd4a23-717f-46dc-8f92-3bd06899a808, HTTP/1.1, 200, 0.594000
127.0.0.1, 2011-02-27 10:53:16, GET, /, HTTP/1.1, 500, 0.688000
127.0.0.1, 2011-02-27 10:53:19, GET, /admin/default/ticket/init/127.0.0.1.2011-02-27.10-53-16.8718aec5-78f4-4556-be00-ded0757a23e9, HTTP/1.1, 303, 0.110000
127.0.0.1, 2011-02-27 10:53:19, GET, /admin/default/index, HTTP/1.1, 200, 0.422000
127.0.0.1, 2011-02-27 10:53:19, GET, /admin/static/jquery.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2011-02-27 10:53:20, GET, /admin/static/calendar.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2011-02-27 10:53:20, GET, /admin/static/calendar.js, HTTP/1.1, 200, 0.062000
127.0.0.1, 2011-02-27 10:53:20, GET, /admin/static/styles.css, HTTP/1.1, 200, 0.062000
127.0.0.1, 2011-02-27 10:53:20, GET, /admin/static/title.png, HTTP/1.1, 200, 0.016000
127.0.0.1, 2011-02-27 10:53:25, POST, /admin/default/index, HTTP/1.1, 303, 0.203000
127.0.0.1, 2011-02-27 10:53:26, GET, /admin/default/ticket/init/127.0.0.1.2011-02-27.10-53-16.8718aec5-78f4-4556-be00-ded0757a23e9, HTTP/1.1, 200, 0.547000
